breed_name,species,alt_names,origin_country,height,weight,life_span,personality_traits,description,adaptability,affection_level,child_friendly,dog_friendly,energy_level,grooming,health_issues,intelligence,shedding_level,social_needs,stranger_friendly,vocalisation,hypoallergenic,wikipedia_url,senior_friendly,urban_friendly,family_compatibility_score,social_environment_score,child_friendly_norm,stranger_friendly_norm,dog_friendly_norm,energy_level_norm,vocalisation_norm,affection_level_norm,intelligence_norm,adaptability_norm,senior_friendly_norm,urban_friendly_norm,senior_friendly_label,urban_friendly_label,family_compatibility_label,social_environment_label,breed_cluster,recommendation,recommendation_confidence,multi_cluster_membership,persona_match,persona_explainability_text,heat_tolerance,cold_tolerance,humidity_tolerance,all_weather_adaptability,recommended_climate_types,dietary_sensitivity_level,common_food_allergies,digestion_robustness,obesity_prone,recommended_diet_type,climate_data_source,diet_data_source,guardian_note,Avg monthly_food_cost_inr,Avg exercise_minutes_daily,Avg grooming_hours_monthly,Avg social_interaction_hours_daily,Avg total_daily_time_hours,Avg professional_grooming_cost_monthly,Avg vet_cost_monthly_avg,Avg total_monthly_cost_inr
Aussiedoodle,Dog,Aussiepoo,United States,36-58 cm,11-32 kg,10-13 years,"Smart, Playful, Friendly, Energetic, Loyal","A cross between Australian Shepherd and Poodle, highly intelligent.",2.6,5,4,4,5,3,4,5,3,4.33,4,2,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3.1,3.6,73,79.8,0.75,0.75,0.75,1,0.25,1,1,0.4,0.486486486,0.615384615,Moderate,Good,Good,Good,Active / Outdoor Dog,Great for active owners,100,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,"Chicken, wheat, corn",3,Medium,"Balanced, Grain-free option",archetype,archetype,Needs large open space; not ideal for small flats.,5100,120,5.5,6,8.5,800,800,7400
Aussiepom,Dog,,United States,28-38 cm,5-14 kg,12-15 years,"Playful, Active, Friendly, Alert, Intelligent",A mix of Australian Shepherd and Pomeranian.,2.6,4,3,4,5,2,4,4,3,3.67,4,3,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.5,3.2,61,72.8,0.5,0.75,0.75,1,0.5,0.75,0.75,0.4,0.324324324,0.461538462,Moderate,Good,Good,Good,Active / Outdoor Dog,Great for active owners,100,Active / Outdoor Dog,Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,Minimal (Generally robust),3,Low,Balanced,archetype,archetype,Needs large open space; not ideal for small flats.,2200,120,8.5,4.5,7.5,1600,800,5100
Australian Cattle Dog,Dog,Blue Heeler,Australia,43-51 cm,15-22 kg,12-16 years,"Alert, Curious, Pleasant, Energetic, Loyal",A herding dog developed for driving cattle over long distances.,2.8,5,3,4,5,4,5,5,3,4,2,2,0,https://en.wikipedia.org/wiki/Australian_Cattle_Dog,3.1,3.1,58,68.4,0.5,0.25,0.75,1,0.25,1,1,0.45,0.486486486,0.423076923,Moderate,Moderate,Moderate,Good,Active / Outdoor Dog,Great for active owners; Good as a guard or alert dog,90,"Guard / Watch Dog, Active / Outdoor Dog",Active outdoor enthusiast; Security-conscious owner,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities. Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.",3,3,3,60,Temperate,2,Minimal (Active herding breeds),3,Low,"High-protein, Performance diet",archetype,archetype,Needs large open space; not ideal for small flats.,4400,120,3,6,8.5,200,500,5600
Australian Kelpie,Dog,Kelpie,Australia,43-51 cm,11-20 kg,10-14 years,"Intelligent, Loyal, Energetic, Alert, Eager",A medium-sized sheep dog known for tireless energy and intelligence.,2.6,4,2,3,5,4,3,5,3,3,2,4,0,https://en.wikipedia.org/wiki/Australian_Kelpie,2.2,2.6,46,57.8,0.25,0.25,0.5,1,0.75,0.75,1,0.4,0.243243243,0.230769231,Moderate,Moderate,Moderate,Moderate,Guard / Watch Dog,Great for active owners; Good as a guard or alert dog,90,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Active herding breeds),3,Low,"High-protein, Performance diet",archetype,archetype,Needs large open space; not ideal for small flats.,3700,120,3,4.5,7,200,1200,5600
Australian Retriever,Dog,,United States,51-58 cm,14-25 kg,12-15 years,"Friendly, Intelligent, Energetic, Loyal, Playful",A cross between Australian Shepherd and Golden Retriever.,2.8,4,4,3,5,3,4,4,3,3.67,3,2,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.8,3.1,64,66.4,0.75,0.5,0.5,1,0.25,0.75,0.75,0.45,0.405405405,0.423076923,Moderate,Moderate,Good,Good,Active / Outdoor Dog,Great for active owners,100,Active / Outdoor Dog,Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,1,Minimal (Sporting breeds generally robust),3,Medium,"High-protein, Performance diet",archetype,archetype,Needs large open space; not ideal for small flats.,4600,120,5.5,4.5,7,800,800,6800
Australian Shepherd,Dog,Aussie,United States,46-58 cm,16-32 kg,12-15 years,"Intelligent, Affectionate, Active, Good-natured, Protective","A herding dog despite its name, developed in the western United States.",2.8,5,4,5,5,1,2,5,3,4.67,3,4,0,https://en.wikipedia.org/wiki/Australian_Shepherd,2.5,2.8,69,72.4,0.75,0.5,1,1,0.75,1,1,0.45,0.324324324,0.307692308,Moderate,Moderate,Good,Good,Active / Outdoor Dog,Great for active owners,100,Active / Outdoor Dog,Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Generally robust),3,Low,"High-protein, Performance diet",archetype,archetype,Needs large open space; not ideal for small flats.,5700,120,13,6,9,5400,2000,14400
Australian Shepherd Husky,Dog,,United States,51-58 cm,16-30 kg,12-15 years,"Energetic, Intelligent, Loyal, Playful, Active",A hybrid of Australian Shepherd and Siberian Husky.,2.6,5,3,2,5,3,3,5,4,3.33,2,5,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.2,2.3,58,50.8,0.5,0.25,0.25,1,1,1,1,0.4,0.243243243,0.115384615,Moderate,Moderate,Moderate,Moderate,Guard / Watch Dog,Great for active owners; Good as a guard or alert dog,90,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Active herding breeds),3,Low,"High-protein, Performance diet",archetype,archetype,Needs large open space; not ideal for small flats.,5400,120,6,6,8.5,800,1200,8100
Australian Shepherd Lab Mix,Dog,Aussiedor,United States,51-64 cm,18-36 kg,10-15 years,"Friendly, Intelligent, Energetic, Loyal, Playful",A mix of Australian Shepherd and Labrador Retriever.,3.6,4,4,4,5,4,4,5,4,4,4,3,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.5,3.4,68,79.8,0.75,0.75,0.75,1,0.5,0.75,1,0.65,0.324324324,0.538461538,Moderate,Good,Good,Good,Active / Outdoor Dog,Great for active owners,100,Active / Outdoor Dog,Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Active herding breeds),3,Low,"High-protein, Performance diet",archetype,archetype,Needs large open space; not ideal for small flats.,6400,120,3.5,4.5,7,200,800,8100
Australian Shepherd Pit Bull Mix,Dog,,United States,46-56 cm,18-32 kg,10-15 years,"Energetic, Loyal, Protective, Intelligent, Active",A cross between Australian Shepherd and Pit Bull.,2.6,4,4,3,4,3,4,4,4,3.67,3,2,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3.2,3.3,68,65.8,0.75,0.5,0.5,0.75,0.25,0.75,0.75,0.4,0.513513514,0.5,Good,Good,Good,Good,Active / Outdoor Dog,Great for active owners,80,Active / Outdoor Dog,Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Active herding breeds),3,Low,"High-protein, Performance diet",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected.",5900,75,6,4.5,6.5,900,800,8400
Australian Stumpy Tail Cattle Dog,Dog,Stumpy,Australia,43-51 cm,16-23 kg,12-15 years,"Alert, Watchful, Obedient, Courageous, Loyal",A naturally bob-tailed cattle dog from Australia.,2.4,3,3,2,5,3,4,4,4,2.67,2,2,0,https://en.wikipedia.org/wiki/Australian_Stumpy_Tail_Cattle_Dog,2.5,2.8,48,55.2,0.5,0.25,0.25,1,0.25,0.5,0.75,0.35,0.324324324,0.307692308,Moderate,Moderate,Moderate,Moderate,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,90,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Active herding breeds),3,Low,"High-protein, Performance diet",archetype,archetype,Needs large open space; not ideal for small flats.,4600,120,6,3,5.5,800,800,6800
Australian Terrier,Dog,Aussie,Australia,23-28 cm,5-8 kg,12-15 years,"Spirited, Alert, Loyal, Courageous, Companionable",A small terrier developed in Australia for vermin control.,3,4,3,2,5,5,5,4,1,3,3,5,0,https://en.wikipedia.org/wiki/Australian_Terrier,1.9,2.4,57,54,0.5,0.5,0.25,1,1,0.75,0.75,0.5,0.162162162,0.153846154,Poor,Moderate,Moderate,Moderate,Balanced / General Companion,Great for active owners,100,Active / Outdoor Dog,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,2,Minimal (Terriers generally hardy),3,Medium,"Balanced, Active formula",archetype,archetype,Needs large open space; not ideal for small flats.,1500,120,1,4.5,7,0,500,2200
Azawakh,Dog,,West Africa,61-74 cm,15-25 kg,12-15 years,"Aloof, Loyal, Independent, Attentive, Rugged",A West African sighthound used for hunting and guarding.,2.8,4,2,3,3,5,3,3,3,3,2,1,0,https://en.wikipedia.org/wiki/Azawakh,3.9,3.2,54,59.4,0.25,0.25,0.5,0.5,0,0.75,0.5,0.45,0.702702703,0.461538462,Good,Good,Moderate,Moderate,Balanced / General Companion,Good as a guard or alert dog,80,Guard / Watch Dog,Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",4700,45,1.5,4.5,6,0,1200,6500
Bakharwal Dog,Dog,"Kashmiri Bakharwal Dog, Gujjar Watchdog",India,60-76 cm,29-36 kg,10-12 years,"Brave, Intelligent, Protective, Alert, Independent",The Bakharwal Dog is an ancient working breed from the Pir Panjal mountain range in Jammu and Kashmir. Used by nomadic Gujjar and Bakarwal tribes for guarding livestock against predators like wolves and bears.,2,4,3,3,4,3,2,4,4,3,2,4,0,https://en.wikipedia.org/wiki/Bakharwal_dog,2.6,2.5,57,52,0.5,0.25,0.5,0.75,0.75,0.75,0.75,0.25,0.351351351,0.192307692,Moderate,Moderate,Moderate,Moderate,Guard / Watch Dog,Great for active owners; Good as a guard or alert dog,80,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,2,4,2,52,Cold/Temperate,2,Minimal (Generally robust),4,Medium,Balanced,manual_override,manual_override,Warning: Poor heat tolerance. Needs 24/7 AC in Indian summers.,6000,75,6,4.5,6.5,1000,2000,9900
Barbet,Dog,French Water Dog,France,53-66 cm,17-28 kg,13-15 years,"Obedient, Companionable, Joyful, Intelligent, Calm","A French water dog with a thick, curly coat.",2.6,5,4,4,5,1,4,4,2,4.33,3,3,0,https://en.wikipedia.org/wiki/Barbet_(dog),2.8,2.8,69,66.8,0.75,0.5,0.75,1,0.5,1,0.75,0.4,0.405405405,0.307692308,Moderate,Moderate,Good,Good,Active / Outdoor Dog,Great for active owners,100,Active / Outdoor Dog,Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,Minimal (Generally robust),3,Low,Balanced,archetype,archetype,Needs large open space; not ideal for small flats.,5300,120,11,6,9,5200,800,12400
Basenji,Dog,African Bush Dog,Central Africa,41-43 cm,9-11 kg,13-14 years,"Intelligent, Affectionate, Energetic, Alert, Curious",An African hunting dog that does not bark but makes a yodel sound.,3.4,5,5,4,5,5,2,4,1,4.67,5,1,0,https://en.wikipedia.org/wiki/Basenji,3.4,4,84,87.2,1,1,0.75,1,0,1,0.75,0.6,0.567567568,0.769230769,Good,Good,Excellent,Excellent,Family Dog,Best for families with children; Well-suited for city living; Great for active owners,88,"Family Dog, City / Apartment Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Generally robust),3,Low,Balanced,archetype,archetype,Needs large open space; not ideal for small flats.,2400,120,1,6,8.5,0,2000,4800
Bassador,Dog,,United States,36-51 cm,20-32 kg,10-12 years,"Friendly, Loyal, Playful, Affectionate, Social",A cross between Basset Hound and Labrador Retriever.,2.8,3,3,3,3,3,3,3,5,3,3,3,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3,3,60,59.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.459459459,0.384615385,Moderate,Moderate,Good,Moderate,Balanced / General Companion,Best for general companionship,59.4,Balanced / General Companion,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,2,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,Designer/mixed breed - traits can vary based on parent breeds. Breed prone to health issues - regular veterinary check-ups and health screening recommended. Consider pet insurance.,6100,45,7,3,4.5,900,1200,9000
Basset Fauve de Bretagne,Dog,Fawn Brittany Basset,France,32-38 cm,11-16 kg,11-14 years,"Friendly, Sociable, Courageous, Determined, Lively",A small French scenthound with a rough fawn coat.,3.4,5,4,4,4,4,5,5,2,4.33,3,2,0,https://en.wikipedia.org/wiki/Basset_Fauve_de_Bretagne,3.5,3.6,73,76.2,0.75,0.5,0.75,0.75,0.25,1,1,0.6,0.594594595,0.615384615,Good,Good,Good,Good,Active / Outdoor Dog,Great for active owners,80,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,1,Minimal (Hounds generally robust),3,Very High,"Balanced, Portion control",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. ?? Highly prone to obesity: Requires strict portion control and measured feeding. Do NOT free-feed. Will eat excessively if allowed. Daily exercise mandatory. Obesity leads to joint problems and shortened lifespan. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",3200,75,3,6,8,200,500,4300
Basset Hound,Dog,Basset,France,33-38 cm,18-27 kg,12-13 years,"Devoted, Friendly, Gentle, Tenacious, Affectionate",A short-legged scent hound with long ears and droopy eyes.,3.6,5,5,5,2,5,1,4,4,5,5,4,0,https://en.wikipedia.org/wiki/Basset_Hound,3.7,3.8,96,82.8,1,1,1,0.25,0.75,1,0.75,0.65,0.648648649,0.692307692,Good,Good,Excellent,Excellent,Family Dog,Best for families with children,96,"Family Dog, City / Apartment Dog",Family with young children,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children.",3,3,3,60,Temperate,1,Minimal (Hounds generally robust),3,Very High,"Balanced, Portion control",archetype,archetype,"?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. ?? Highly prone to obesity: Requires strict portion control and measured feeding. Do NOT free-feed. Will eat excessively if allowed. Daily exercise mandatory. Obesity leads to joint problems and shortened lifespan. Note: Hounds are vocal - expect baying and howling. Not ideal for noise-sensitive living situations or close neighbors. Note: Intelligent but independent/stubborn breed. Training can be challenging. Requires patience and consistency. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",5300,30,2,6,7,0,3000,9100
